Ticker,Company Name
RBRF11,FII RBR ALPHA Fundo
HAPV3,Hapvida
GNDI3,Notre Dame
BIDI4,Banco Inter PN
JPSA3,Jereissati Participacoes
GPIV33,GP Invest DRC A
IRDM11,IRIDIUM RECEBÍVEIS IMOBILIÁRIOS
FOFT11,CSHG TOP FOFII 2
THRA11,FII CYRELA THERA CORPORATE
TAEE4,TAEE Pref
BIDI4T,Banco Inter PN Termo
XPLG11,XP LOG FII
RBRR11,FII RBR Rendimento High Grade
WPLZ11,Fundo Inves
MGFF11,FII Mogno Fundo De Fundos
TGAR11,FII TG Ativo Real
HGRU11,CSHG RENDA URBANA FII
ALUP3,Alupar Invest
ALUP4,Alupar Invest Pref
LOGG3,Log Commercial Properties
KNHY11,KINEA HIGH YIELD CRI FII
OUCY11,OURINVESTY CYRELA FII
FVPQ11,FII VIA PARQUE SHOPPING
TASA13,Taurus Armas Right Series B
TASA15,Taurus Armas Right Series C
TASA17,Taurus Armas Right Series D
CARE11,Brazilian Graveyard and Death Care Services FII
TAEE3,TAEE 3
XPIN11,FII XP Industrial
VSHO11,FI Imobiliario Votorantim Shopping
DMMO11,Dommo Energia
AZEV3,Azevedo Travassos
AHEB3,Sao Paulo Turismo
BALM3,Baumer
BPAC3,Banco BTG Pactual
EALT3,Electro Aco Altona
ECPR3,Encorpar
HAGA3,Haga Industria Comercio
ITEC3,Itautec
LIPR3,Eletrobras Eletropar
PATI3,Panatlantica
PEAB3,Alianca Bahia
SULA3,Sul America Pref
BPAC5,Banco BTG Pactual Pref
BRGE11,Alfa Administracao Pref E
BRGE12,Alfa Administracao Pref F
BRGE6,Alfa Administracao Pref
CELP6,Eletricas Para CELPA Pref B
CELP7,Eletricas Para CELPA Pref  C
CORR4,Correa Ribeiro
EEEL4,Estadual Geracao Transmissao
ENMT4,Energisa Mato Grosso
LUXM4,Trevisa Invest
MEND6,Mendes Junior
MERC4,Mercantil Brasil Financeira
RSUL4,Metalurgica Riosulense
SULA4,Sul America
BEEF11,Minerva
JBDU1,Industrias JB Duarte Right 1
JBDU2,Industrias JB Duarte Right 2
LOGN12,Log-in Logistica Right
MYPK12,Iochpe Maxion Right 12
PATC11,PATRIA EDIFICIOS CORPORATIVOS FII
BBDC3,BRADESCO ON
VGIR11,VALORA RE III FII
VILG11,VINCI LOGISTICA FII
CNTO3,Grupo SBF
BTCR11,FII BTG PACTUAL CREDITO IMOBILIARIO
VAMO3,Grupo Vamos
CAMB10,Cambuci Pref
IDVL9,Banco Indusval
MELI34,Mercadolibre BDR
MOAR3,Monteiro Aranha
RBVA11,FII Rio Bravo Rendo Varejo
MRSA3B,MRS Logistica
VTLT11,FI Imobiliario Votorantim Logistica
GTWR11,FII Green Towers
BIDI11,Banco Inter Unit
BIDI3,Banco Inter ON
DMAC11,MAC Fundo de Investimento Imobiliario
TFOF11,Hedge Top FOFII
HCTR11,Hectare Ce Fdo Inv Imob
TIET2,Aes Tiete Energia Pref Rights
HSML11,HSI Malls FII
XPHT11,XP HOTEIS FDO INV IMOB
XPHT12,XP HOTEIS FII
HABT11,FII HABIT II
RECT11,FII UBS (BR) OFFICE
AQLL11,Áquilla
ARFI11B,Áquilla Renda
ATCR11,HAZ
BARI11,Barigui Rendimento Imobiliários I
BBIM11,BB Recebiveis Imobiliários
BMII11,Brasilio Machado
BPRP11,FII BRLPROP
BRHT11B,BR Hotéis
BVAR11,Brasil Varejo
DAMT11B,Diamante
DOVL11B,DOVEL
ELDO11B,Eldorado
ERPA11,Europa 105
FINF11,Infra Real State
FISC11,SC 401
FISD11,São Domingos
FPNG11,Pedra Negra Renda Imobiliária
FTCE11B,Opportunity
GESE11B,General Severiano
HBTT11,General Severiano
HGFF11,CSHG Imobiliário FOF
HUSC11,Hospital Unimed Sul Capixaba
JPPC11,JPP Capital
KINP11,Even Permuta Kinea
LATR11B,Lateres
NCHB11,NCH Brasil Recebíveis Imobiliários
NPAR11,Nestpar
NVHO11,Novo Horizonte
NVIF11B,Nova I
ORPD11,Ouro Preto Desenvolvimento Imobiliário I
OULG11B,Ourinvest Logistica
PBLV11,Prologis Brazil Logistics Venture
PRSN11B,Personale I
PRTS11,Multi Properties
RBCO11,RB Capital Office Income
RBFF11,Rio Bravo IFIX
RBRP11,RBR Properties
RBRY11,RBR Private Crédito Imobiliário
RCFA11,Grupo RCFA
RCRI11B,RB Capital Rendimentos
RDPD11,BB Renda de Papeis Imobiliários II
REIT11,Socopa Fundo de Investimento Imobiliário
SADI11,Santander Papeis Imobiliários CDI
SAIC11B,Sia Corporate
SFND11,São Fernando
SHDP11B,Shopping Parque Dom Pedro
SHOP11,Multi Shoppings
SPAF11,SPA Fundo de Investimento Imobiliário
STRX11,STARX FII
TCR11,BTG Pactual Crédito Imobiliário
TORM13,Tourmalet I
TOUR11,Tourmalet II
TSNC11,Transinc
VERE11,Vereda
VLJS11,Vector Queluz Lajes Corporativas
VPSI11,Polo Shopping Indaiatuba
WTSP11B,Ourinvest RE I
YCHY11,Yaguara Capital High Yield
VIVA3,Vivara
CEAB3,C A Modas SA
BMGB11,Banco BMG Unit
BMGB4,Banco BMG ON
SDIP11,SDI Properties
RBCO11,Rb Cap
IBFF11,Integral Brei Reit
CVBI11,Vbi Cri
HRDF11,Hedge Realty
RSPD11,Rb Cap
TCPF11,Treecorp
